source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-components-explain,represent vectors in component form,
3,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-components-model,Model the Skill: represent vectors in component form,
4,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-components-practice,You Try: represent vectors in component form,
5,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-components-feedback,Check and Diagnose: represent vectors in component form,
6,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-components-synthesize,Make It Stick: represent vectors in component form,
7,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-operations-explain,perform vector operations and interpret scalar multiplication,
8,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-explain,find vector magnitude and direction angle,
9,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-explain,find vector magnitude and direction angle,
10,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-model,Model the Skill: find vector magnitude and direction angle,
11,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-operations-practice,You Try: perform vector operations and interpret scalar multiplication,
12,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-practice,You Try: find vector magnitude and direction angle,
13,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-feedback,Check and Diagnose: find vector magnitude and direction angle,
14,mapped,math130unit3d,Math130Unit3D.html,math130unit3d-u3d-direction-synthesize,Make It Stick: find vector magnitude and direction angle,
