source_slide,disposition,session,output,block,block_title,rationale
1,mapped,unit2c-part1,Math130Unit2C-part1.html,unit2c-part1-title,Geometry Foundations and Angle Relationships,
2,omitted,,,,,Blank source slide.
3,mapped,unit2c-part1,Math130Unit2C-part1.html,unit2c-part1-roadmap,Today’s Learning Roadmap,
4,mapped,unit2c-part1,Math130Unit2C-part1.html,unit2c-part1-title,Geometry Foundations and Angle Relationships,
5,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-language-explain,use geometric notation and distinguish congruence from similarity,
6,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-language-model,Model the Skill: use geometric notation and distinguish congruence from similarity,
7,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-language-practice,You Try: use geometric notation and distinguish congruence from similarity,
8,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-language-feedback,Check and Diagnose: use geometric notation and distinguish congruence from similarity,
9,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-angle-types-explain,"measure, classify, and relate angles",
10,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-angle-types-model,"Model the Skill: measure, classify, and relate angles",
11,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-angle-types-practice,"You Try: measure, classify, and relate angles",
12,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-angle-types-feedback,"Check and Diagnose: measure, classify, and relate angles",
13,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-parallel-explain,use parallel-line relationships to solve angle equations,
14,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-parallel-model,Model the Skill: use parallel-line relationships to solve angle equations,
15,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-parallel-practice,You Try: use parallel-line relationships to solve angle equations,
16,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-parallel-feedback,Check and Diagnose: use parallel-line relationships to solve angle equations,
