source_slide,disposition,session,output,block,block_title,rationale
1,mapped,unit2a,Math130Unit2A.html,unit2a-title,Exponential Functions,
2,mapped,unit2a,Math130Unit2A.html,unit2a-roadmap,Today’s Learning Roadmap,
3,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-explain,recognize and graph exponential functions,
4,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-explain,recognize and graph exponential functions,
5,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-model,Model the Skill: recognize and graph exponential functions,
6,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-model,Model the Skill: recognize and graph exponential functions,
7,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-practice,You Try: recognize and graph exponential functions,
8,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-practice,You Try: recognize and graph exponential functions,
9,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-feedback,Check and Diagnose: recognize and graph exponential functions,
10,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-feedback,Check and Diagnose: recognize and graph exponential functions,
11,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-graph-synthesize,Make It Stick: recognize and graph exponential functions,
12,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-e-explain,evaluate exponential expressions and use the natural base e,
13,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-e-model,Model the Skill: evaluate exponential expressions and use the natural base e,
14,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-e-practice,You Try: evaluate exponential expressions and use the natural base e,
15,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-e-feedback,Check and Diagnose: evaluate exponential expressions and use the natural base e,
16,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-e-synthesize,Make It Stick: evaluate exponential expressions and use the natural base e,
17,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-explain,"select and apply simple, periodic, and continuous interest formulas",
18,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-explain,"select and apply simple, periodic, and continuous interest formulas",
19,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-model,"Model the Skill: select and apply simple, periodic, and continuous interest formulas",
20,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-model,"Model the Skill: select and apply simple, periodic, and continuous interest formulas",
21,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-practice,"You Try: select and apply simple, periodic, and continuous interest formulas",
22,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-practice,"You Try: select and apply simple, periodic, and continuous interest formulas",
23,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-feedback,"Check and Diagnose: select and apply simple, periodic, and continuous interest formulas",
24,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-feedback,"Check and Diagnose: select and apply simple, periodic, and continuous interest formulas",
25,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-synthesize,"Make It Stick: select and apply simple, periodic, and continuous interest formulas",
26,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-interest-synthesize,"Make It Stick: select and apply simple, periodic, and continuous interest formulas",
27,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-model-explain,interpret exponential growth and decay models,
28,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-model-model,Model the Skill: interpret exponential growth and decay models,
29,mapped,unit2a,Math130Unit2A.html,math130unit2a-u2a-model-feedback,Check and Diagnose: interpret exponential growth and decay models,
30,mapped,unit2a,Math130Unit2A.html,unit2a-closing,Session Summary and Exit Ticket,
31,mapped,unit2a,Math130Unit2A.html,unit2a-closing,Session Summary and Exit Ticket,
