source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-algebra-explain,apply exponential and logarithmic models,
3,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-algebra-model,Model the Skill: apply exponential and logarithmic models,
4,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-algebra-feedback,Check and Diagnose: apply exponential and logarithmic models,
5,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-angle-explain,"solve angle, arc, and sector problems",
6,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-angle-model,"Model the Skill: solve angle, arc, and sector problems",
7,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-geometry-explain,"choose area, similarity, and speed strategies",
8,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-geometry-model,"Model the Skill: choose area, similarity, and speed strategies",
9,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-geometry-practice,"You Try: choose area, similarity, and speed strategies",
10,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-angle-practice,"You Try: solve angle, arc, and sector problems",
11,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-angle-feedback,"Check and Diagnose: solve angle, arc, and sector problems",
12,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-u2e-geometry-feedback,"Check and Diagnose: choose area, similarity, and speed strategies",
13,mapped,math130unit2e,Math130Unit2E.html,math130unit2e-closing,Session Summary and Exit Ticket,
