source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-explain,find reference angles in degrees and radians,
3,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-explain,find reference angles in degrees and radians,
4,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-explain,find exact trigonometric values from points and reference angles,
5,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-model,Model the Skill: find reference angles in degrees and radians,
6,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-practice,You Try: find reference angles in degrees and radians,
7,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-practice,You Try: find reference angles in degrees and radians,
8,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-feedback,Check and Diagnose: find reference angles in degrees and radians,
9,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-reference-synthesize,Make It Stick: find reference angles in degrees and radians,
10,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-signs-explain,determine trigonometric signs and quadrants,
11,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-signs-practice,You Try: determine trigonometric signs and quadrants,
12,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-explain,find exact trigonometric values from points and reference angles,
13,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-model,Model the Skill: find exact trigonometric values from points and reference angles,
14,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-practice,You Try: find exact trigonometric values from points and reference angles,
15,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-practice,You Try: find exact trigonometric values from points and reference angles,
16,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-feedback,Check and Diagnose: find exact trigonometric values from points and reference angles,
17,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-values-synthesize,Make It Stick: find exact trigonometric values from points and reference angles,
18,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-area-explain,apply the trigonometric triangle-area formula,
19,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-area-model,Model the Skill: apply the trigonometric triangle-area formula,
20,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-u3b-area-feedback,Check and Diagnose: apply the trigonometric triangle-area formula,
21,mapped,math130unit3b,Math130Unit3B.html,math130unit3b-closing,Session Summary and Exit Ticket,
